Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2022-05-02,S005,P0010,Clothing,West,431.0,231,79,234.88,11.24,5,Snowy,0,15.16,Summer
2022-10-24,S001,P0001,Toys,South,367.0,295,123,296.27,86.49,20,Cloudy,0,91.27,Spring
2022-02-08,S003,P0001,Groceries,North,116.0,81,121,74.68,85.69,0,Sunny,1,87.98,Autumn
2022-07-08,S001,P0007,Furniture,South,369.0,246,97,237.85,37.05,5,Rainy,0,40.75,Summer
2022-04-18,S001,P0014,Toys,South,385.0,52,81,52.32,51.96,0,Rainy,1,54.11,Autumn
2022-09-19,S003,P0012,Groceries,North,493.0,455,126,470.85,12.34,5,Snowy,0,11.51,Summer
2022-08-07,S004,P0001,Clothing,South,288.0,199,53,195.54,32.2,5,Sunny,1,28.0,Winter
2023-08-26,S003,P0020,Furniture,West,59.0,30,148,20.96,56.0,10,Cloudy,0,52.24,Winter
2022-06-03,S005,P0020,Groceries,South,345.0,243,74,247.41,55.82,5,Snowy,1,50.87,Summer
2022-06-19,S002,P0017,Groceries,East,271.0,221,187,230.2,13.39,5,Rainy,0,10.24,Spring
2023-07-02,S005,P0003,Clothing,North,153.0,34,144,26.84,35.95,10,Rainy,0,37.57,Summer
2023-12-01,S005,P0015,Clothing,South,491.0,255,80,250.07,90.84,10,Rainy,0,95.77,Winter
2023-10-07,S004,P0013,Clothing,East,211.0,63,170,79.66,53.81,20,Sunny,1,56.06,Spring
2023-07-28,S004,P0003,Electronics,West,135.0,14,120,12.47,27.19,15,Rainy,0,28.19,Autumn
2023-11-16,S002,P0015,Furniture,North,287.0,133,34,151.29,79.77,15,Cloudy,0,80.1,Winter
2023-06-26,S003,P0008,Furniture,South,236.0,165,140,180.97,40.15,20,Sunny,1,44.04,Winter
2022-01-04,S005,P0020,Furniture,West,128.0,54,139,62.09,81.63,10,Rainy,0,78.32,Autumn
2023-09-30,S005,P0003,Clothing,West,257.0,174,161,184.74,98.37,20,Rainy,1,95.98,Autumn
2023-07-22,S004,P0019,Furniture,East,228.0,214,93,225.33,14.55,0,Snowy,0,18.51,Winter
2023-12-03,S001,P0010,Clothing,West,332.0,311,21,306.24,48.41,15,Sunny,1,44.75,Winter
2023-04-10,S003,P0018,Clothing,West,76.0,73,139,64.95,63.57,10,Rainy,0,65.58,Autumn
2022-03-27,S002,P0010,Groceries,West,133.0,53,96,68.13,90.64,5,Cloudy,1,91.79,Summer
2023-10-24,S002,P0008,Electronics,North,225.0,138,144,139.31,40.47,0,Snowy,1,41.97,Winter
2022-09-07,S004,P0020,Groceries,South,276.0,235,29,234.28,60.02,0,Cloudy,0,58.75,Autumn
2023-05-31,S001,P0006,Furniture,South,285.0,73,50,65.36,32.68,10,Sunny,0,33.17,Winter
2023-04-29,S003,P0004,Toys,North,157.0,78,116,82.99,16.31,10,Rainy,1,20.36,Winter
2023-08-31,S001,P0007,Furniture,East,450.0,165,151,177.83,36.19,10,Sunny,1,36.01,Spring
2023-12-02,S002,P0011,Furniture,East,184.0,137,161,146.1,11.19,15,Cloudy,1,6.74,Summer
2022-04-08,S002,P0005,Furniture,North,155.0,29,163,45.66,95.86,0,Rainy,0,97.29,Winter
2023-01-25,S005,P0017,Toys,West,275.0,261,41,279.39,64.43,20,Cloudy,0,68.63,Winter
2022-08-24,S001,P0013,Electronics,South,195.0,159,38,154.01,59.61,20,Cloudy,1,59.12,Winter
2023-06-10,S003,P0009,Toys,North,102.0,71,130,79.68,66.28,20,Snowy,1,62.91,Spring
2023-01-11,S005,P0013,Electronics,North,156.0,21,47,23.73,53.33,5,Cloudy,0,55.63,Summer
2022-12-06,S002,P0015,Furniture,East,243.0,122,146,140.9,52.52,0,Rainy,1,52.11,Spring
2023-05-08,S005,P0016,Groceries,North,481.0,42,72,41.4,22.52,10,Sunny,0,25.24,Spring
2023-11-04,S004,P0002,Groceries,West,185.0,139,128,152.91,17.31,5,Rainy,0,21.15,Winter
2022-06-05,S003,P0002,Electronics,South,361.0,197,76,211.45,54.5,10,Snowy,1,53.79,Spring
2022-04-30,S005,P0016,Electronics,North,315.0,122,188,124.05,81.85,10,Sunny,0,83.77,Winter
2022-07-01,S004,P0019,Clothing,North,223.0,163,177,168.08,77.5,10,Rainy,0,77.08,Winter
2023-11-09,S002,P0008,Furniture,West,121.0,25,27,40.2,28.97,20,Sunny,1,25.84,Autumn
2023-12-07,S004,P0010,Electronics,North,364.0,59,170,54.4,31.19,15,Sunny,0,33.05,Winter
2022-06-14,S001,P0009,Furniture,South,347.0,1,94,-3.7,21.99,15,Rainy,1,25.95,Winter
2023-03-05,S002,P0008,Groceries,South,268.0,253,154,268.49,88.57,20,Rainy,1,93.33,Autumn
2023-03-06,S005,P0004,Toys,South,247.0,138,78,157.63,12.68,0,Sunny,0,8.08,Autumn
2022-02-21,S003,P0018,Electronics,South,259.0,235,114,235.94,73.89,10,Cloudy,1,69.52,Spring
2022-12-03,S001,P0019,Clothing,East,101.0,53,127,70.28,33.18,10,Sunny,0,37.88,Winter
2022-05-19,S003,P0001,Furniture,South,268.0,131,144,134.66,83.51,5,Rainy,1,84.21,Autumn
2023-04-27,S004,P0017,Furniture,West,128.0,121,55,115.2,57.93,0,Rainy,1,61.76,Summer
2022-05-08,S005,P0017,Clothing,West,50.0,15,61,8.32,82.07,5,Cloudy,0,81.88,Spring
2023-11-29,S001,P0015,Furniture,South,471.0,107,64,111.23,90.72,20,Rainy,1,88.76,Summer
2023-01-06,S002,P0013,Electronics,South,189.0,132,81,134.29,74.24,10,Rainy,0,74.83,Autumn
2023-09-13,S005,P0011,Toys,West,310.0,59,123,64.25,54.94,15,Sunny,1,56.09,Winter
2022-12-08,S001,P0007,Furniture,North,490.0,13,196,32.37,34.28,15,Cloudy,1,37.35,Winter
2022-09-22,S001,P0011,Toys,South,197.0,25,76,28.52,89.61,20,Sunny,1,85.39,Spring
2022-04-09,S003,P0017,Toys,South,229.0,84,98,91.55,,5,Sunny,1,24.0,Summer
2022-07-04,S002,P0008,Furniture,South,485.0,314,150,306.52,80.48,0,Rainy,1,77.45,Summer
2023-08-23,S004,P0016,Clothing,West,407.0,172,131,191.41,85.26,5,Sunny,1,83.53,Winter
2022-03-26,S002,P0007,Furniture,West,149.0,14,200,8.4,10.85,0,Sunny,1,10.91,Autumn
2022-01-13,S005,P0006,Electronics,East,289.0,191,84,191.89,27.23,15,,1,28.37,Autumn
2023-10-21,S005,P0001,,South,359.0,241,35,259.13,,0,Snowy,0,31.78,Autumn
2022-05-14,S002,P0006,,North,127.0,40,63,33.79,12.61,5,Rainy,0,16.01,Spring
2022-05-23,S001,P0009,Groceries,East,125.0,2,158,12.16,13.93,10,Cloudy,1,9.75,Spring
2022-11-23,S003,P0012,Toys,West,320.0,304,123,309.7,17.69,5,Cloudy,0,21.05,Spring
2022-07-13,S005,P0014,Clothing,West,376.0,335,98,346.79,78.14,5,Cloudy,0,82.3,Summer
2022-12-11,S003,P0014,Furniture,West,250.0,100,85,118.27,89.21,10,Cloudy,1,94.19,Spring
2022-03-15,S002,P0005,Groceries,East,263.0,176,145,170.26,74.09,10,Cloudy,1,69.16,Winter
2022-04-20,S003,P0008,Furniture,North,85.0,56,182,50.17,81.21,15,Snowy,1,77.45,Winter
2022-05-02,S001,P0007,Groceries,South,342.0,134,159,152.38,52.27,5,Snowy,1,56.31,Summer
2022-11-02,S005,P0018,Electronics,North,72.0,24,74,42.11,14.95,20,Snowy,0,13.89,Autumn
2022-02-14,S002,P0003,DESCONOCIDO,East,94.0,73,45,87.99,29.83,20,Snowy,0,26.44,Winter
2022-05-27,S002,P0004,Toys,West,275.0,145,36,163.12,42.96,10,Snowy,1,47.72,Spring
2023-05-03,S003,P0014,Furniture,East,120.0,68,198,75.08,58.6,20,Snowy,1,54.32,Spring
2023-02-07,S004,P0007,Electronics,North,335.0,85,186,103.2,98.79,10,Sunny,1,95.33,Winter
2022-03-13,S003,P0010,Furniture,West,355.0,17,164,22.71,36.04,5,Sunny,0,40.92,Autumn
2023-09-08,S002,P0020,Furniture,North,100.0,34,88,31.5,90.72,10,Rainy,1,87.28,Spring
2022-02-28,S002,P0013,Clothing,South,391.0,316,87,313.79,22.44,15,Snowy,1,26.5,Spring
2022-07-18,S002,P0008,Toys,North,264.0,111,100,114.88,93.2,10,Snowy,0,96.13,Winter
2022-09-08,S003,P0016,Toys,East,193.0,52,58,51.98,95.5,20,Sunny,1,96.46,Winter
2023-01-13,S002,P0011,Clothing,West,98.0,53,51,51.34,56.01,15,Rainy,1,60.81,Winter
2022-01-29,S005,P0001,Toys,North,456.0,40,106,53.65,73.71,10,Cloudy,0,72.97,Autumn
2022-06-15,S002,P0011,Furniture,East,254.0,155,88,168.46,35.35,15,Sunny,0,36.95,Summer
2023-08-01,S002,P0020,Groceries,South,198.0,149,56,168.8,82.13,10,Cloudy,1,79.1,Autumn
2022-07-04,S004,P0004,Clothing,North,439.0,23,173,34.6,46.61,15,Cloudy,1,47.88,Spring
2023-06-05,S004,P0001,Toys,West,232.0,3,187,-3.38,55.23,20,Sunny,0,56.03,Autumn
2022-03-24,S003,P0002,Clothing,North,285.0,73,192,71.63,34.96,20,,1,34.39,Autumn
2023-09-20,S001,P0004,Clothing,East,354.0,354,61,344.19,35.65,5,Snowy,1,37.17,Winter
2023-09-23,S005,P0019,Furniture,South,148.0,135,73,130.37,70.67,20,Sunny,1,71.61,Spring
2023-09-06,S004,P0018,Electronics,North,298.0,173,33,190.69,48.04,5,Sunny,0,47.5,Summer
2023-09-09,S002,P0016,Groceries,South,173.0,169,46,177.52,91.14,20,Snowy,0,89.09,Summer
2023-09-20,S003,P0015,Toys,West,71.0,66,176,67.39,,20,Rainy,0,69.14,Spring
2023-06-21,S002,P0007,Toys,East,164.0,107,143,111.5,13.97,10,Snowy,1,13.44,Autumn
2023-06-04,S001,P0017,,North,,59,91,78.25,23.52,10,Sunny,1,23.92,Autumn
2023-11-30,S002,P0002,Clothing,East,480.0,369,83,388.76,81.77,0,Snowy,1,82.16,Winter
2023-11-05,S001,P0012,Toys,North,293.0,255,85,264.54,27.38,5,Snowy,0,24.48,Winter
2023-09-10,S003,P0020,Furniture,South,477.0,55,184,59.65,65.34,15,Sunny,0,60.68,Autumn
2022-11-20,S002,P0001,Groceries,West,424.0,338,131,356.42,,5,Cloudy,0,26.19,Winter
2022-12-26,S002,P0003,Toys,North,312.0,263,125,276.77,58.71,10,Snowy,1,55.9,Summer
2022-03-01,S002,P0010,Toys,North,300.0,31,194,33.96,88.84,5,Rainy,0,88.4,Summer
2022-09-19,S002,P0013,Clothing,North,166.0,89,160,108.78,99.26,0,Sunny,0,96.46,Summer
2023-03-27,S001,P0009,Furniture,West,391.0,232,151,226.83,88.78,5,Cloudy,0,93.46,Spring
2022-01-23,S005,P0017,Furniture,North,454.0,200,163,199.18,51.45,5,Sunny,0,55.14,Summer
2023-07-02,S002,P0011,Electronics,North  ,68.0,34,157,37.48,17.23,15,Cloudy,1,17.87,Winter
2022-03-02,S001,P0017,Clothing,North,268.0,106,137,99.62,64.44,20,Sunny,1,61.35,Summer
2023-09-25,S003,P0016,Groceries,West,267.0,74,154,64.05,99.95,20,Rainy,0,96.19,Summer
2022-11-03,S003,P0009,Toys,West,180.0,141,112,136.98,72.65,0,Sunny,0,69.9,Summer
2023-10-09,S002,P0015,Toys,North,113.0,15,45,24.44,33.25,15,Rainy,1,31.06,Spring
2022-08-26,S005,P0012,Electronics,South,427.0,319,21,332.78,79.91,10,Cloudy,1,76.47,Summer
2022-09-14,S003,P0013,Electronics,North,151.0,145,194,141.0,56.29,15,Snowy,1,57.14,Summer
2022-10-18,S003,P0011,Electronics,West,180.0,176,101,184.56,23.09,5,,0,19.64,Summer
2022-08-25,S002,P0016,Toys,North,119.0,39,64,36.85,32.66,10,Snowy,1,31.4,Autumn
2023-05-17,S004,P0009,Groceries,North,398.0,307,26,303.63,43.4,15,Snowy,0,42.99,Summer
2023-11-08,S003,P0007,Furniture,North,250.0,61,126,53.8,62.32,0,Sunny,1,65.25,Winter
2022-12-29,S002,P0004,Groceries,East,144.0,59,49,72.6,46.65,5,Rainy,1,47.72,Autumn
2023-06-06,S004,P0017,Electronics,South,496.0,473,161,479.71,49.54,5,Sunny,1,54.21,Summer
2022-09-22,S001,P0013,Clothing,West,218.0,146,105,143.08,96.84,0,Sunny,1,98.51,Spring
2023-12-05,S001,P0016,Electronics,West,303.0,109,103,120.98,48.4,10,Snowy,0,48.76,Summer
2023-03-05,S001,P0013,Groceries,East,359.0,20,166,13.5,64.19,0,Cloudy,0,66.98,Summer
2022-10-30,S005,P0003,Groceries,West,343.0,335,131,346.26,67.61,0,Snowy,1,65.01,Autumn
2023-12-11,S002,P0003,Furniture,South,182.0,12,90,23.32,71.8,0,Snowy,0,69.79,Winter
2023-04-18,S004,P0003,Toys,West,321.0,37,48,42.54,54.19,20,Cloudy,1,50.78,Winter
2023-11-29,S005,P0017,Groceries,East,403.0,276,96,288.11,23.85,15,Cloudy,1,23.49,Summer
2022-02-14,S005,P0013,Furniture,East,78.0,23,183,35.46,85.49,0,Snowy,1,90.08,Winter
2023-12-14,S004,P0013,Electronics,South,136.0,82,118,91.25,23.6,10,Sunny,1,28.07,Winter
2023-08-11,S002,P0018,Toys,West,367.0,134,82,141.91,40.06,0,Rainy,1,38.71,Autumn
2023-02-05,S002,P0001,Electronics,West,315.0,92,42,83.75,34.12,15,Cloudy,1,34.76,Summer
2022-04-20,S003,P0009,Toys,South,311.0,126,138,123.22,87.52,20,Sunny,0,85.8,Spring
2023-08-17,S002,P0012,Clothing,West,272.0,159,199,152.98,14.55,0,Snowy,1,14.08,Winter
2023-11-02,S001,P0002,Clothing,North,258.0,4,160,16.51,51.71,20,Snowy,0,55.62,Autumn
2022-01-24,S005,P0004,Furniture,West,168.0,107,138,103.41,18.19,0,Sunny,0,21.4,Winter
2022-08-19,S001,P0016,Electronics,West,283.0,33,21,40.72,74.36,0,Sunny,0,74.84,Autumn
2022-07-18,S003,P0009,Electronics,West,153.0,13,134,16.76,97.84,5,Cloudy,1,98.66,Summer
2023-04-13,S005,P0015,Clothing,North,220.0,217,180,212.7,,20,Snowy,0,31.43,Summer
2022-12-19,S001,P0003,Toys,East,62.0,38,71,50.42,53.36,5,Snowy,1,53.54,Autumn
2022-05-06,S005,P0014,Furniture,East,148.0,132,56,136.33,48.21,10,Rainy,1,48.53,Spring
2023-10-18,S003,P0020,Toys,South,358.0,309,113,308.56,56.58,5,Rainy,0,51.86,Spring
2023-06-27,S005,P0019,Groceries,West,156.0,48,90,46.45,84.46,5,Snowy,0,83.93,Autumn
2023-07-21,S004,P0010,Clothing,South,384.0,211,168,217.79,91.96,10,Snowy,1,88.48,Autumn
2023-03-20,S003,P0007,Furniture,North,346.0,298,189,304.44,"47,97",15,Cloudy,0,47.33,Autumn
2023-04-20,S004,P0007,Toys,North,81.0,65,167,57.46,94.65,10,Sunny,1,91.75,Spring
2023-09-21,S004,P0009,Electronics,North,148.0,62,56,56.15,31.17,15,Snowy,0,34.96,Winter
2022-08-25,S001,P0018,Furniture,West,96.0,60,131,76.97,50.1,20,Snowy,1,53.28,Summer
2022-12-12,S004,P0003,Furniture,South,239.0,38,134,49.65,77.74,5,Sunny,0,79.55,Summer
2022-12-10,S002,P0003,Clothing,East,167.0,136,53,148.87,87.41,5,Cloudy,0,88.21,Autumn
2023-05-21,S002,P0013,Clothing,West,250.0,100,46,106.66,24.49,10,Snowy,1,26.32,Summer
2022-10-04,S004,P0008,Clothing,South,444.0,326,118,335.53,84.51,0,Snowy,1,80.89,Autumn
2023-06-23,S003,P0005,,North,244.0,88,196,82.15,84.51,15,Snowy,1,81.68,Summer
2023-11-02,S001,P0015,Toys,North,112.0,39,130,34.24,48.67,15,Snowy,1,46.61,Summer
2022-06-28,S002,P0013,Groceries,East,135.0,36,107,42.75,97.18,20,Rainy,1,100.83,Summer
2023-07-06,S002,P0008,Electronics,East  ,369.0,215,81,217.34,13.13,15,Cloudy,1,10.97,Autumn
2022-01-16,S004,P0015,Electronics,South,178.0,26,52,32.77,79.88,0,Rainy,0,77.63,Winter
2022-04-06,S005,P0011,Electronics,North,333.0,286,111,295.29,24.5,20,Rainy,1,24.2,Winter
